K,drop,l2,feat,psri_eMBB,psri_URLLC,psri_mMTC,top_features
1,-0.0004999999999999449,0.10000001639127731,1.0,1.0,1.0,1.0090090090090091,syn_count
3,0.22100000000000009,0.1626528948545456,2.668,0.829656862745098,0.736231884057971,1.0540540540540542,"syn_count, SMTP, IAT"
5,0.25950000000000006,0.21576935052871704,4.668,0.7824754901960784,0.5130434782608696,1.0540540540540542,"syn_count, SMTP, IAT, TCP, Protocol Type"
7,0.25950000000000006,0.2580592632293701,6.668,0.7824754901960784,0.5130434782608696,1.0540540540540542,"syn_count, SMTP, IAT, TCP, Protocol Type (+2 more)"
10,0.25950000000000006,0.3108401596546173,9.668,0.7824754901960784,0.5130434782608696,1.0540540540540542,"syn_count, SMTP, IAT, TCP, Protocol Type (+5 more)"
15,0.399,0.37849196791648865,14.341,0.6531862745098039,0.33913043478260874,0.44144144144144143,"syn_count, SMTP, IAT, TCP, Protocol Type (+10 more)"
20,0.405,0.43664005398750305,19.0885,0.6458333333333334,0.30724637681159417,0.44144144144144143,"syn_count, SMTP, IAT, TCP, Protocol Type (+15 more)"
